month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chandigarh,state_Chattisgarh,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karnataka,state_Madhya Pradesh,state_Maharashtra,state_Mizoram,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Uttar Pradesh,state_Uttrakhand,market_Adampur,market_Ahmedabad,market_Ahmedgarh,market_Ajnala,market_Akhnoor,market_Akluj,market_Amarawati,market_Ambala Cantt.,market_Ambala City,market_Ambala City(Subji Mandi),market_Amritsar(Amritsar Mewa Mandi),market_Anand,"market_Anand(Veg,Yard,Anand)",market_Anklav,market_Ankleshwar,market_Armori,market_Asandh,market_Ateli,market_Azadpur,market_Babain,market_Badnawar(F&V),market_Baghapurana,market_Bahadurgarh,market_Bahraich,market_Ballabhgarh,market_Banda,market_Bandrol,market_Bangarmau,market_Banur,market_Barara,market_Bariwala,market_Barnala,market_Barwala,market_Barwala(Hisar),market_Basmat(Kurunda),market_Bassi Pathana,market_Batala,market_Bathinda,market_Bazpur,market_Bhadaur,market_Bhagta Bhai Ka,market_Bhagwanpur(Naveen Mandi Sthal),market_Bhawanigarh,market_Bhiwani,market_Bhogpur,market_Bhulath,market_Bhuna,market_Bhuntar,market_Bikaner (F&V),market_Bilaspur,market_Bilga,market_Bilimora,"market_Binny Mill (F&V), Bangalore",market_Budalada,market_Ch. Dadri,market_Chaandpur,market_Chail Chowk,market_Chamba,market_Chamkaur Sahib,market_Chandigarh (F&V),market_Chandigarh(Grain/Fruit),market_Chandrapur(Ganjwad),market_Chattrapati Sambhajinagar,market_Chhachrauli,market_Chikkamagalore,market_Chittorgarh,market_Chutmalpur,market_Dabwali,market_Datia,market_Dehradoon,market_Deoband,market_Dera Baba Nanak,market_Dewas(F&V),market_Dhamnod,market_Dhanaula,market_Dharamkot,market_Dharampur,market_Dharashiv,market_Dhari(Chalala),market_Dhariwal,market_Dhuri,market_Doraha,market_Dudhansadhan,market_Ellanabad,market_F.G.Churian,market_Faridabad,market_Faridkot,market_Fatehabad,market_Fazilka (Ladhuka),market_Ferozepur Cantt.,market_Ganaur,market_Gangoh,market_Gehri,market_Giddarbaha,market_Goniana,market_Gumla,market_Guna,market_Guru Har Sahai,market_Haatpipliya,market_Haldwani,market_Hamirpur,market_Hamirpur(Nadaun),market_Harda,market_Harda(F&V),market_Haridwar Union,market_Harike,market_Hassan,market_Hathin,market_Hodal,market_Hoshiarpur,market_Iamailabad,market_Indore(F&V),market_Jabalpur,market_Jabalpur(F&V),market_Jagadhri,market_Jagraon,market_Jakhal,market_Jalalabad,market_Jalandhar City,market_Jalandhar City(Jalandhar),market_Jalgaon,market_Jalore,market_Jhajjar,market_Jodhpur (F&V),market_Jodhpur(F&V)(Paota),market_Jora,market_Jwalaji,market_Kalyan,market_Kamthi,market_Kangra,market_Kangra(Baijnath),market_Kangra(Jaisinghpur),market_Kangra(Jassour),market_Kangra(Nagrota Bagwan),market_Kapurthala,market_Karad,market_Kashipur,market_Kasrawad,market_Kathua,market_Keshopur,market_Kesinga,market_Khamano,market_Khanauri,market_Khanina,market_Khanna,market_Kharar,market_Khateema,market_Khed,market_Khed(Chakan),market_Kolhapur,market_Kot ise Khan,market_Kotkapura,market_Kovvur,market_Kullu,market_Kullu(Chauri Bihal),market_Kullu(Patli Kuhal),market_Kurdwadi,market_Ladwa,market_Lalru,market_Lohian Khas,market_Ludhiana,market_Lungli,market_Makhu,market_Malerkotla,market_Malout,market_Mamdot,market_Manchar,market_Mandi(Mandi),market_Mandi(Takoli),market_Mansa,market_Maur,market_Meham,market_Mehatpur,market_Moga,market_Mohindergarh,market_Moonak,market_Morena,market_Morena(F&V),market_Morinda,market_Muktsar,market_Mullana,market_Mumbai,market_Muradnagar,market_Mustafabad,market_Nagpur,market_Nagpur(Mahatma Phule Market),market_Nahan,market_Nakodar,market_Naraingarh,market_Narnaul,market_Narnaund,market_Narot J Singh,market_Narwal Jammu (F&V),market_Nasik,market_New Market Aizawl,market_Nissing,market_Noor Mehal,market_Nuh,market_Palampur,market_Palus,market_Palwal,market_Pandharpur,market_Panna,market_Panvel,market_Paonta Sahib,market_Parimpore,market_Patan,market_Pathalgaon,market_Pathankot,market_Patti,"market_Petlad(Veg Yard, Petlad)",market_Phagwara,market_Phillaur,market_Phillaur(Apra Mandi),market_Porsa(F&V),market_Pundri,market_Pune,market_Pune(Khadiki),market_Pune(Pimpri),market_Puranpur,market_Quadian,market_Radaur,market_Rahuri,market_Raikot,market_Rajouri (F&V),market_Rajpura,market_Raman,market_Ramnagar,market_Rampura Phul,market_Rampuraphul(Nabha Mandi),market_Rampurmaniharan,market_Rania,market_Ratia,market_Ratlam(F&V),market_Ratnagiri (Nachane),market_Rattia,market_Reasi,market_Rishikesh,market_Rohroo,market_Rohtak,market_Roorkee,market_Ropar,market_Sadhaura,market_Sagar(F&V),market_Sahnewal,market_Samalkha,market_Samana,market_Samba,market_Sandila,market_Sangrur,market_Santoshgarah,market_Santoshgarh,market_Sardulgarh,market_Satara,market_Shadabad,market_Shahabad,market_Shahabad(New Mandi),market_Shahdara,market_Shahkot,market_Shahpura Bhitoni (F&V),market_Shahpura(Jabalpur),market_Shahzadpur,market_Shajapur(F&V),market_Shimla,market_Shimla and Kinnaur(Nerwa),market_Shimla and Kinnaur(Rampur),market_Shimla and Kinnaur(Theog),market_Shivpuri(F&V),market_Shrirampur,market_Siddapur,market_Siddhpur,market_Sirhind,market_Solan,market_Solan(Banalgi),market_Solan(ChakkikaMor),market_Solan(Nalagarh),market_Solan(Rajgarh),market_Sonepat,market_Sonepat(Kharkhoda),market_Sriganganagar (F&V),market_Sultanpur,market_Sunam,market_Syopurkalan(F&V),market_Talwandi Bhai,market_Talwandi Sabo,market_Tanakpur,market_Tanda(Rampur),market_Tapa,market_Tarantaran,market_Thanesar,market_Tosham,market_Udhampur,market_Ujjain,market_Ujjain(F&V),market_Una,market_Vadgaonpeth,market_Vadhvan,market_Vadodara(Sayajipura),market_Vai,market_Vikasnagar,market_Vilaspur,market_Vishalpur,market_Yamuna Nagar,market_Zira,market_kalanwali,variety_Peas Wet,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
