month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Assam,state_Chattisgarh,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jharkhand,state_Karnataka,state_Madhya Pradesh,state_Meghalaya,state_Nagaland,state_Odisha,state_Punjab,state_Rajasthan,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Agra,market_Ahmedgarh,market_Ajnala,market_Alwar (F&V),market_Amritsar,market_Amritsar(Amritsar Mewa Mandi),"market_Anand(Veg,Yard,Anand)",market_Baghapurana,market_Bangarmau,market_Banur,market_Barara,market_Bariwala,market_Baruipur(Canning),market_Barwala,market_Barwala(Hisar),market_Batala,market_Bhadrak,market_Bhikhiwind,market_Bhopal(F&V),market_Bhulath,market_Bhuna,market_Bhuntar,market_Bilaspur,market_Budalada,market_Chail Chowk,market_Chamba,market_Chogawan,market_Chomu (F&V),market_Deesa,market_Deesa(Deesa Veg Yard),market_Deogarh,market_Deoghar,market_Dera Baba Nanak,market_Dera Bassi,market_Dhanotu (Mandi),market_Dhuri,market_Diamond Harbour,market_Dimapur,market_Ellanabad,market_Faizabad,market_Fatehabad,market_Fazilka,market_Fazilka (Ladhuka),market_Firozepur City,market_Gadarpur,market_Gehri,market_Giddarbaha,market_Godhra,market_Gohana,market_Goniana,market_Goraya,market_Gumla,market_Gurdaspur,market_Hamirpur,market_Haridwar Union,market_Hassanpur,market_Hodal,market_Hoshiarpur,market_Hoshiarpur(Sham Churasi),market_Hospet,market_Indri,market_Jagraon,market_Jahangirabad,market_Jalandhar City,market_Jalore,market_Jasra,market_Junagadh,market_Kalanaur,market_Kalayat,market_Kangra,market_Kangra(Jassour),market_Keshod,market_Khadur Sahib(Fetehabad),market_Khair,market_Khanauri,market_Kharar,market_Khilchipur,market_Khurja,market_Kiratpur,market_Koderma,market_Kot ise Khan,market_Kotadwara,market_Lehra Gaga,market_Loharu,market_Ludhiana,market_Makhu,market_Malout,market_Mamdot,market_Mandi(Mandi),market_Mandi(Takoli),market_Manendragarh,market_Mansa,market_Meham,market_Mehatpur,market_Morinda,market_Muktsar,market_Mullana,market_Nabha,market_Nadiad,market_Nadiyad(Piplag),market_Nakodar,market_Namhol(Bilaspur),market_Narnaul,market_Naushera Pannuan,"market_New Grain Market(main), Karnal",market_Nilokheri,market_P.O. Uparhali Guwahati,market_Padra,market_Palampur,market_Pathalgaon,market_Phillaur,market_Phillaur(Apra Mandi),market_Pundri,market_Quadian,market_Ramkrishanpur(Howrah),market_Rania,market_Saharanpur,market_Sahidngar,market_Sardulgarh,market_Shahkot,market_Sheopurkalan,market_Shikaripura,market_Sikanderabad,market_Sohra,market_Solan,market_Solan(Banalgi),market_Solan(Nalagarh),market_Solan(Rajgarh),market_Sonepat,market_Sriganganagar (F&V),market_Sultanpurchilkana,market_Sunam,market_Surat,market_Syopurkalan(F&V),market_Tapa,market_Tarantaran,market_Tarori,market_Thanesar,market_Tulsipur,market_Uklana,market_Unnao,market_Visakhapatnam,market_Vyra,market_Yamuna Nagar,market_Zira,market_kalanwali,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
