month_December,month_November,month_October,month_September,market_Bhuntar,market_Bilaspur,market_Dhanotu (Mandi),market_Dharampur,market_Hamirpur,market_Kangra,market_Kangra(Nagrota Bagwan),market_Kullu,market_Kullu(Chauri Bihal),market_Kullu(Patli Kuhal),market_Mandi(Mandi),market_Mandi(Takoli),market_Palampur,market_Una,year
,,,1,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,1,1,1,,,,,2020
,,,1,,,,,,,1,,,,,,,,2020
,,,1,,,,,,1,1,,,,,,,,2020
,,,1,,,,,1,,,,,,,,,,2020
,,,1,,,,1,,,,,,,,,,,2020
,,,1,,,1,,,,,,,,,,,,2020
,,,1,,1,,,,,,,,,,,,,2020
,,,1,1,,,,,,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,1,1,1,,,,,2020
,,1,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,1,1,,,,,,,,2020
,,1,,,,,,1,,,,,,,,,,2020
,,1,,,,,1,,,,,,,,,,,2020
,,1,,,,1,,,,,,,,,,,,2020
,,1,,,1,,,,,,,,,,,,,2020
,,1,,1,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,1,1,1,,,,,2020
,1,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,1,1,,,,,,,,2020
,1,,,,,,,1,,,,,,,,,,2020
,1,,,,,,1,,,,,,,,,,,2020
,1,,,,,1,,,,,,,,,,,,2020
,1,,,,1,,,,,,,,,,,,,2020
,1,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,1,1,1,,,,,2020
1,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,1,1,,,,,,,,2020
1,,,,,,,,1,,,,,,,,,,2020
1,,,,,,,1,,,,,,,,,,,2020
1,,,,,,1,,,,,,,,,,,,2020
1,,,,,1,,,,,,,,,,,,,2020
1,,,,1,,,,,,,,,,,,,,2020
