month_August,month_December,month_February,month_January,month_July,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Maharashtra,state_Punjab,state_Rajasthan,state_Uttar Pradesh,market_Ambala City,market_Badayoun,market_Bapauli,market_Bhikhiwind,market_Chittorgarh,market_Dera Baba Nanak,market_F.G.Churian,market_Fazilka,market_Fazilka (Ladhuka),market_Giddarbaha,market_Harike,market_Kot ise Khan,market_Lasur Station,market_Shahkot,market_Sillod,market_Surat,market_kalanwali,year
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,2020
