month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Madhya Pradesh,state_Punjab,state_Uttar Pradesh,category_Pundi,market_Hoshiarpur,market_Jaora,market_Junagadh,market_Kodinar,market_Rapar,market_Robertsganj,year
,,,,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,,,,1,,,1,,,,,,,1,2020
,,,,,,,,,,1,,1,,,1,,,,,,2020
,,,,,,,,,,1,1,,,,,1,,,,,2020
,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,1,,,,,,,1,2020
,,,,,,,,,1,,,1,,,1,,,,,,2020
,,,,,,,,,1,,1,,,,,1,,,,,2020
,,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,1,,,,,,,1,2020
,,,,,,,,1,,,,1,,,1,,,,,,2020
,,,,,,,,1,,,1,,,,,1,,,,,2020
,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,1,,,,,,,1,2020
,,,,,,,1,,,,,1,,,1,,,,,,2020
,,,,,,,1,,,,1,,,,,1,,,,,2020
,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,1,,,,,,,1,2020
,,,,,,1,,,,,,1,,,1,,,,,,2020
,,,,,,1,,,,,1,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,1,,,,,,,1,2020
,,,,,1,,,,,,,1,,,1,,,,,,2020
,,,,,1,,,,,,1,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,1,,,,,,,,1,,,1,,,,,,2020
,,,,1,,,,,,,1,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,1,,,,,,,,,1,,,1,,,,,,2020
,,,1,,,,,,,,1,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,1,,,,,,,1,2020
,,1,,,,,,,,,,1,,,1,,,,,,2020
,,1,,,,,,,,,1,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,1,,,,,,,1,2020
,1,,,,,,,,,,,1,,,1,,,,,,2020
,1,,,,,,,,,,1,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,1,,,,,,,1,2020
1,,,,,,,,,,,,1,,,1,,,,,,2020
1,,,,,,,,,,,1,,,,,1,,,,,2020
