month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Andhra Pradesh,state_Arunachal Pradesh,state_Assam,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Meghalaya,state_Odisha,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Tripura,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Adoni,market_Agra,market_Ajnala,market_Alappuzha,market_Ambala City,market_Ampati,market_Amritsar(Amritsar Mewa Mandi),market_Anand,market_Angul,market_Angul(Jarapada),market_Ankleshwar,market_Aroor,market_Badayoun,market_Bagepalli,market_Bahadurgarh,market_Balachaur,market_Balarampur,market_Balugaon,market_Balurghat,market_Bangarmau,market_Bangarpet,market_Banki,market_Bapauli,market_Baripada,market_Barpathari,market_Barshi,market_Baruipur(Canning),market_Barwala,market_Barwala(Hisar),market_Bassi Pathana,market_Batala,market_Baxirhat,market_Belacoba,market_Belur,market_Betnoti,market_Bhikhiwind,market_Bhogpur,market_Bhucho,market_Bhulath,market_Bikaner (F&V),market_Bilga,"market_Binny Mill (F&V), Bangalore",market_Bishalgarh,market_Bongiagaon,market_Boudh,market_Bowenpally,market_Cachar,market_Ch. Dadri,market_Chakdah,market_Chamaraj Nagar,market_Champaknagar,market_Channapatana,market_Chanthroor,market_Chattrapati Sambhajinagar,market_Cherthala,market_Chhachrauli,market_Chickkaballapura,market_Chikkamagalore,market_Chintamani,market_Chittorgarh,market_Chomu (F&V),market_Coochbehar,market_Dabwali,market_Dahod(Veg. Market),market_Dasda,market_Davangere,market_Deesa,market_Deesa(Deesa Veg Yard),market_Dhanaula,market_Dhanotu (Mandi),market_Dharamkot,market_Dharashiv,market_Dhariwal,market_Dhenkanal,market_Dhuri,market_Diamond Harbour,market_Diglipur,market_Dinanagar,market_Doddaballa Pur,market_Erragadda(Rythu Bazar),market_F.G.Churian,market_Ferozepur Cantt.,market_Gaddiannaram,market_Gajapathinagaram,market_Gandacharra,market_Gangarampur,market_Gangarampur(Dakshin Dinajpur),market_Garjee,market_Ghoti,market_Giddarbaha,market_Golaghat,market_Goniana,market_Gowribidanoor,market_Gudimalkapur,market_Gudiwada,market_Hailakandi,market_Haldwani,market_Harda,market_Harda(F&V),market_Haridwar Union,market_Harike,market_Hassan,market_Hodal,market_Honnali,market_Hoshiarpur,market_Hoshiarpur(Sham Churasi),market_Hoskote,market_Hospet,market_Hyderabad (F&V),market_Ibrahimputnam,market_Jajpur,market_Jakhal,market_Jaleswar,market_Jalore,market_Jalpaiguri Sadar,market_Jodhpur (F&V),market_Jodhpur(F&V)(Paota),market_Jumpuijala,market_K.R. Pet,market_Kadur,market_Kalmeshwar,market_Kalsi,market_Kalwakurthy,market_Kalyan,market_Kalyanpur,market_Kama,market_Kamthi,market_Kanakapura,market_Kanjangadu,market_Karad,market_Kasipur,market_Katpadi(Uzhavar Santhai),market_Kattappana,market_Khair,market_Khamano,market_Khammam,market_Khanauri,market_Khanina,market_Khanna,market_Kharupetia,market_Khed,market_Khed(Chakan),market_Khunthabandha,market_Kolar,market_Kolhapur,market_Kolhapur(Malkapur),market_Kondotty,market_Kot ise Khan,market_Kotkapura,market_Kovvur,market_Kulai,market_Kunjpura,market_Kurdwadi,market_L B Nagar,market_Ladwa,market_Lalru,market_Lanka,market_Lehra Gaga,market_Lohian Khas,market_Ludhiana,market_Majitha,market_Makhu,market_Malout,market_Malur,market_Mamdot,market_Manchar,market_Mangal Wedha,market_Manjeswaram,market_Mansa,market_Mawana,market_Meham,market_Mekhliganj,market_Melaghar,market_Midnapore Sadar,market_Mohanpur,market_Mohindergarh,market_Moodigere,market_Mottagaon,market_Moynaguri,market_Mukkom,market_Muktsar,market_Mulabagilu,market_Mumbai,market_Munnar,market_Mustafabad,market_Mysore (Bandipalya),market_Nabarangpur(Umerkote),market_Nadiad,market_Nadiyad(Chaklasi),market_Nagamangala,market_Nagpur(Mahatma Phule Market),market_Naraingarh,market_Nawarangpur,market_Nedumkandam,market_Neeleswaram,market_Nissing,market_Nizamabad,market_Noor Mehal,market_Nuh,market_Nutanbazar,market_Nuzvid,market_Ongole(Rythu Bazar),market_P.O. Uparhali Guwahati,market_Pabiacherra,market_Padra,market_Palwal,market_Panisagar,market_Panvel,market_Parbhani,market_Parlakhemundi,market_Pasighat,market_Patan,market_Pehowa,market_Phagwara,market_Phillaur,market_Phillaur(Apra Mandi),market_Pilibhit,market_Pundibari,market_Pune,market_Pune(Khadiki),market_Pune(Pimpri),market_Punhana,market_Purulia,market_Quilandy,market_Raath,market_Radaur,market_Raibareilly,market_Rajpura,market_Ramanagara,market_Ramkrishanpur(Howrah),market_Ratia,market_Ratnagiri (Nachane),market_Rongram,market_Sadasivpet(Sangareddy),market_Sahnewal,market_Samalkha,market_Santir Bazar,market_Sanwer,market_Saraskana,market_Sealdah Koley Market,market_Shadnagar,market_Shahapur,market_Shahjahanpur,market_Shahkot,market_Shankarapally,market_Shimoga,market_Shimogga(Theertahalli),market_Shivpuri(F&V),market_Shrirampur,market_Siddhpur,market_Sirhind,market_Solapur,market_Sonamura,market_Sonepat,market_Sunam,market_Surat,market_Syopurkalan(F&V),market_T. Narasipura,market_Talala,market_Talalagir,market_Talwandi Bhai,market_Tamluk (Medinipur E),market_Tanakpur,market_Tapa,market_Tauru,market_Teliamura,market_Thanesar,market_Thodupuzha,market_Tirupati,market_Tohana,market_Tohana(New Veg Market),market_Toofanganj,market_Tura,market_Udala,market_Udupi,market_Uluberia,market_Unnao,market_Vadgaonpeth,market_Vadodara(Sayajipura),market_Vai,market_Vantamamidi,market_Vijapur(veg),market_Vijayawada,market_Vijaynagar,market_Vyra,market_Yamuna Nagar,market_kalanwali,market_vadakarapathy,variety_Ridgeguard(Tori),year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
