month_February,month_January,month_July,month_March,month_November,month_October,month_September,state_Tripura,state_West Bengal,"market_Flower Market,Gazipur",market_Kolaghat,variety_Rose (Local),year
,,,,,,1,,,1,,,2020
,,,,,,1,,1,,1,,2020
,,,,,,1,,1,,1,1,2020
,,,,,1,,,,1,,,2020
,,,,,1,,,1,,1,,2020
,,,,,1,,,1,,1,1,2020
,,,,1,,,,,1,,,2020
,,,,1,,,,1,,1,,2020
,,,,1,,,,1,,1,1,2020
,,,1,,,,,,1,,,2020
,,,1,,,,,1,,1,,2020
,,,1,,,,,1,,1,1,2020
,,1,,,,,,,1,,,2020
,,1,,,,,,1,,1,,2020
,,1,,,,,,1,,1,1,2020
,1,,,,,,,,1,,,2020
,1,,,,,,,1,,1,,2020
,1,,,,,,,1,,1,1,2020
1,,,,,,,,,1,,,2020
1,,,,,,,,1,,1,,2020
1,,,,,,,,1,,1,1,2020
