month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Karnataka,state_Maharashtra,state_NCT of Delhi,state_Rajasthan,state_Telangana,state_Tripura,state_Uttar Pradesh,market_Ajmer(F&V),market_Bishalgarh,market_Chickkaballapura,market_Fatehpur,"market_Flower Market, Fatehpuri(Principal Yard, Mehrauli)","market_Flower Market,Gazipur",market_Jodhpur (F&V),market_Jodhpur(F&V)(Paota),market_Mehrauni,market_Umared,market_Zaheerabad,variety_Rose(Loose),year
,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,1,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,1,1,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,2020
,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,1,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,1,2020
,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,2020
,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,1,2020
,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,2020
,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,2020
,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,2020
