month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Rajasthan,"market_Flower Market, Canaught Place(Pr. Yard,Mehrauli)","market_Flower Market,Gazipur",variety_Rose(Tata),variety_Tube Rose (Single),year
,,,,,,,,,,1,,,1,,,2020
,,,,,,,,,,1,,,1,,1,2020
,,,,,,,,,,1,,1,,,,2020
,,,,,,,,,,1,,1,,,1,2020
,,,,,,,,,,1,,1,,1,,2020
,,,,,,,,,1,,,,1,,,2020
,,,,,,,,,1,,,,1,,1,2020
,,,,,,,,,1,,,1,,,,2020
,,,,,,,,,1,,,1,,,1,2020
,,,,,,,,,1,,,1,,1,,2020
,,,,,,,,1,,,,,1,,,2020
,,,,,,,,1,,,,,1,,1,2020
,,,,,,,,1,,,,1,,,,2020
,,,,,,,,1,,,,1,,,1,2020
,,,,,,,,1,,,,1,,1,,2020
,,,,,,,1,,,,,,1,,,2020
,,,,,,,1,,,,,,1,,1,2020
,,,,,,,1,,,,,1,,,,2020
,,,,,,,1,,,,,1,,,1,2020
,,,,,,,1,,,,,1,,1,,2020
,,,,,,1,,,,,,,1,,,2020
,,,,,,1,,,,,,,1,,1,2020
,,,,,,1,,,,,,1,,,,2020
,,,,,,1,,,,,,1,,,1,2020
,,,,,,1,,,,,,1,,1,,2020
,,,,,1,,,,,,,,1,,,2020
,,,,,1,,,,,,,,1,,1,2020
,,,,,1,,,,,,,1,,,,2020
,,,,,1,,,,,,,1,,,1,2020
,,,,,1,,,,,,,1,,1,,2020
,,,,1,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,1,,1,2020
,,,,1,,,,,,,,1,,,,2020
,,,,1,,,,,,,,1,,,1,2020
,,,,1,,,,,,,,1,,1,,2020
,,,1,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,1,,1,2020
,,,1,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,1,,,1,2020
,,,1,,,,,,,,,1,,1,,2020
,,1,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,1,,1,2020
,,1,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,,1,,1,,2020
,1,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,1,,1,2020
,1,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,1,,,1,2020
,1,,,,,,,,,,,1,,1,,2020
1,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,1,,1,2020
1,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,,1,,1,,2020
