month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Haryana,state_Karnataka,state_Madhya Pradesh,state_Maharashtra,state_Punjab,state_Telangana,market_Ahmednagar,market_Ahmedpur,market_Akola,market_Akot,market_Allagadda,market_Amangal,market_Amarawati,market_Ambad (Vadigodri),market_Ambejaogai,market_Anajngaon,market_Annigeri,market_Ashta,market_Aurad,market_Ausa,market_Badami,market_Bagalakot,market_Bagalkot(Bilagi),market_Baramati,market_Barshi,market_Barshi(Vairag),market_Barwala,market_Basava Kalayana,market_Bellary,market_Bemetara,market_Bhalki,market_Bhatapara,market_Bhokar,market_Bidar,market_Bijapur,market_Buldhana(Dhad),market_Chattrapati Sambhajinagar,market_Chikali,market_Chitradurga,market_Chittapur,market_Daryapur,market_Deoulgaon Raja,market_Dharashiv,market_Dharmabad,market_Dharwar,market_Dhuri,market_Dudhani,market_Durg,market_Gadag,market_Gehri,market_Gevrai,market_Guna,market_Gundlupet,market_Hanagal,market_Haveri,market_Hingoli,market_Hubli (Amaragol),market_Humanabad,market_Hungund,market_Ichapuram,market_Indapur,market_Indapur(Bhigwan),market_Jalana,market_Jalandhar City(Kartar Pur Dana mandi),market_Jalkot,market_Jamakhandi,market_Jintur,market_Jogipet,market_Kadiri,market_Kaij,market_Kalamb (Dharashiv),market_Kalamnuri,market_Kalburgi,market_Karanja,market_Karmala,market_Khamgaon,market_Kille Dharur,market_Kolhapur,market_Kundagol,market_Kurdwadi,market_Kurnool,market_Kustagi,market_Lasur Station,market_Latur,market_Laxmeshwar,market_Lingasugur,market_Loha,market_Mahbubnagar(Nawabpet),market_Majalgaon,market_Mangal Wedha,market_Mangrulpeer,market_Mantha,market_Mehekar,market_Murtizapur,market_Nagarkurnool,market_Naigaon,market_Nandurbar,market_Naraingarh,market_Narayanpet,market_Nilanga,market_Nizamabad,market_Parali Vaijyanath,market_Parbhani,market_Pathari,market_Pavani,market_Pitlam,market_Purna,market_Rahuri(Vambori),market_Raichur,market_Ranebennur,market_Rayachoti,market_Sadhaura,market_Sangamner,market_Sangli,market_Sedam,market_Sengoan,market_Shadnagar,market_Shegaon,market_Shirur,market_Shrirampur,market_Siddipet,market_Sillod(Bharadi),market_Sindhanur,market_Sinner,market_Songadh,market_Sonpeth,market_Soundati,market_Tadkalas,market_Talikot,market_Tanduru,market_Tuljapur,market_Udgir,market_Umarga,market_Vaijpur,market_Washim,market_Yadgir,market_Yalburga,market_Yellareddy,market_Yemmiganur,market_Zaheerabad,variety_Other,variety_Safflower,variety_Small,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
