month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Madhya Pradesh,market_Badami,market_Bagepalli,market_Bidar,market_Chickkaballapura,market_Dharwar,market_Gadag,market_Gangavathi,market_Harappana Halli,market_Hoovinahadagali,market_Hoskote,market_Hospet,market_Hubli (Amaragol),market_Kannod,market_Lingasugur,market_Mundaragi,market_Nargunda,market_Nippani,market_Sindagi,market_Sira,market_Sirguppa,market_Yalburga,variety_Sajje,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
