month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Karnataka,state_Madhya Pradesh,market_Arasikere,market_Badami,market_Bichhiya,market_Dharwar,market_Gadag,market_Hosadurga,market_Hubli (Amaragol),market_Huliyar,market_Kadur,market_Kalagategi,market_Lakhnadon,market_Malur,market_Mandla,market_Mulabagilu,market_Pandariya,market_Pathalgaon,market_Pratappur,market_Ramanujganj,market_Ranebennur,market_Savanur,market_Sidhi,market_Sitapur,market_Surajpur,variety_Same/Savi Local,variety_Savo Others,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
