month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Madhya Pradesh,state_Rajasthan,state_Telangana,category_Pundi,market_Deesa(Bhildi),market_Gharsana,market_Mandla,market_Panthawada,market_Pillukhera,market_Rohtak,market_Sirsa,market_Siwani,market_Zaheerabad,market_kalanwali,year
,,,,,,,,,,1,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,1,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,1,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,1,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,1,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,1,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,1,,,,1,,,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,1,,,,1,,,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,1,,,,1,,,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,1,,,,1,,,,,,,,,2020
,,1,,,,,,,,,,1,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,1,,,,1,,,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,1,,,,1,,,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,1,,,,,,2020
