month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Karnataka,state_Odisha,state_West Bengal,category_Pundi,market_Gunpur,market_Kudchi,market_Nawarangpur,market_Paderu,market_Parvathipuram,market_Rayagada(Muniguda),market_Samsi,year
,,,,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,1,,,,,,,2020
,,,,,,,,,,1,1,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,1,,,,,2020
,,,,,,,,,1,,,1,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,,1,,2020
,,,,,,,,1,,,,1,,,,,1,,,,,2020
,,,,,,,,1,,,,1,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,,1,,2020
,,,,,,,1,,,,,1,,,,,1,,,,,2020
,,,,,,,1,,,,,1,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,1,2020
,,,,,,1,,,,,,1,,,,,,,,1,,2020
,,,,,,1,,,,,,1,,,,,1,,,,,2020
,,,,,,1,,,,,,1,,,1,,,,,,,2020
,,,,,,1,,,,,1,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,1,2020
,,,,,1,,,,,,,1,,,,,,,,1,,2020
,,,,,1,,,,,,,1,,,,,1,,,,,2020
,,,,,1,,,,,,,1,,,1,,,,,,,2020
,,,,,1,,,,,,1,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,1,,,,,,,,1,2020
,,,,1,,,,,,,,1,,,,,,,,1,,2020
,,,,1,,,,,,,,1,,,,,1,,,,,2020
,,,,1,,,,,,,,1,,,1,,,,,,,2020
,,,,1,,,,,,,1,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,1,,,,,,,,1,2020
,,,1,,,,,,,,,1,,,,,,,,1,,2020
,,,1,,,,,,,,,1,,,,,1,,,,,2020
,,,1,,,,,,,,,1,,,1,,,,,,,2020
,,,1,,,,,,,,1,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,1,,,,,,,,1,2020
,,1,,,,,,,,,,1,,,,,,,,1,,2020
,,1,,,,,,,,,,1,,,,,1,,,,,2020
,,1,,,,,,,,,,1,,,1,,,,,,,2020
,,1,,,,,,,,,1,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,1,2020
,1,,,,,,,,,,,1,,,,,,,,1,,2020
,1,,,,,,,,,,,1,,,,,1,,,,,2020
,1,,,,,,,,,,,1,,,1,,,,,,,2020
,1,,,,,,,,,,1,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,1,2020
1,,,,,,,,,,,,1,,,,,,,,1,,2020
1,,,,,,,,,,,,1,,,,,1,,,,,2020
1,,,,,,,,,,,,1,,,1,,,,,,,2020
1,,,,,,,,,,,1,,,,,1,,,,,,2020
