month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Karnataka,state_Kerala,state_Uttar Pradesh,market_Daltenganj,market_Dhanbad,market_Harippad,market_Hazaribagh,market_Huliyar,market_Kollam,market_Madhupur,market_Ramgarh,market_Saraikela,market_Sultanpur,market_Thiruvananthapuram,variety_Soji,year
,,,,,,,,,,1,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,1,,,,,1,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,2020
,,,,,,,,,,1,,1,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,2020
,,,,,,,,,,1,,1,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,1,,,,,1,2020
,,,,,,,,,1,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,1,1,2020
,,,,,,,,,1,,,1,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,2020
,,,,,,,,,1,,,1,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,2020
,,,,,,,,1,,,,1,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,2020
,,,,,,,,1,,,,1,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,1,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,2020
,,,,,,,1,,,,,1,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,1,,,,,,1,2020
,,,,,,,1,,,,,1,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,1,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,1,1,2020
,,,,,,1,,,,,,1,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,2020
,,,,,,1,,,,,,1,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,1,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,1,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,1,,,,,,,,,,,,1,1,2020
,,,,,1,,,,,,,1,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,,1,,,,,,1,2020
,,,,,1,,,,,,,1,,,,1,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,1,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,1,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,2020
,,,,1,,,,,,,,1,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,,1,,,,,,1,2020
,,,,1,,,,,,,,1,,,,1,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,1,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,1,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,1,,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,1,,,,,,,,,,,,1,1,2020
,,,1,,,,,,,,,1,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,,1,,,,,,1,2020
,,,1,,,,,,,,,1,,,,1,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,1,,,,,,,,,,1,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,2020
,,1,,,,,,,,,,1,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,1,,,,,,,1,,,,,,1,2020
,,1,,,,,,,,,,1,,,,1,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,1,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,,1,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,1,1,2020
,1,,,,,,,,,,,1,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,1,,,,,,1,2020
,1,,,,,,,,,,,1,,,,1,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
1,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,,1,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,2020
1,,,,,,,,,,,,1,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,1,,,,,,1,2020
1,,,,,,,,,,,,1,,,,1,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,1,,,,,,,,2020
