month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Jharkhand,state_Kerala,state_Maharashtra,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Telangana,state_Uttar Pradesh,state_West Bengal,category_Pundi,market_Adilabad(Rythu Bazar),market_Ait,market_Ajmer (Grain),market_Ajmer(F&V),market_Alappuzha,market_Aligarh,market_Alwar,market_Asansol,market_Atarra,market_Auraiya,market_Bahadurgarh,market_Banswara,market_Baraut,market_Bareilly,market_Beawar,market_Behal,market_Bermo,market_Bhagat Kii Phalodi,market_Bilaspur,market_Birbhum,market_Bokaro (Chas),market_Chaibasa,market_Chandausi,market_Charkhari,market_Cherthala,market_Daltenganj,market_Deoband,market_Deoghar,market_Dhanbad,market_Gadhwah,market_Gangoh,market_Giridih,market_Godda,market_Gumla,market_Hapur,market_Harippad,market_Hazaribagh,market_Jaipur (Grain),market_Jaipur(Grain)(Chandpole),market_Jajpur,market_Jalalabad,market_Jalaun,market_Jamtara,market_Jangipur,market_Kapasan,market_Khatauli,market_Khunti,market_Koderma,market_Kolhapur,market_Kollam,market_Kondotty,market_Lakhimpur,market_Lalitpur,market_Lalru,market_Lalsot,market_Lohardaga,market_Loharu,market_Lucknow,market_Madanganj Kishangarh,market_Madhogarh,market_Madhupur,market_Mathura,market_Meerut,market_Midnapore Sadar,market_Mumbai,market_Muzzafarnagar,market_Najafgarh,market_Narela,market_Nedumangadu,market_Pakur,market_Pali,market_Parappanangadi,market_Parikshitgarh,market_Pillukhera,market_Punalur,market_Purulia,market_Ramgarh,market_Ramkrishanpur(Howrah),market_Ranchi,market_Sahebganj,market_Sainthia,market_Sainthia(Suri),market_Sanchore,market_Saraikela,market_Shahjahanpur,market_Shamli,market_Simdega,market_Thirurrangadi,market_Tilhar,market_Udaipur (Grain),market_Ujhani,variety_Fine,variety_Khand,variety_M-30,variety_Medium,variety_Other,variety_S-30,variety_Shakkar,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
