month_August,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Madhya Pradesh,state_Rajasthan,state_Telangana,market_Biaora,market_Gajapathinagaram,market_Gajsinghpur,market_Jaspur,market_Mandla,market_Nainpur,market_Warangal,year
,,,,,,,,,1,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,1,,,,,2020
,,,,,,,,,1,,1,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,1,,,2020
,,,,,,,,,1,,1,,,1,,,,,,,2020
,,,,,,,,,1,1,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,1,,,,,2020
,,,,,,,,1,,,1,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,1,,,2020
,,,,,,,,1,,,1,,,1,,,,,,,2020
,,,,,,,,1,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,1,,,,,2020
,,,,,,,1,,,,1,,,,,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,1,,,2020
,,,,,,,1,,,,1,,,1,,,,,,,2020
,,,,,,,1,,,1,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,1,2020
,,,,,,1,,,,,,1,,,,1,,,,,2020
,,,,,,1,,,,,1,,,,,,,,1,,2020
,,,,,,1,,,,,1,,,,,,,1,,,2020
,,,,,,1,,,,,1,,,1,,,,,,,2020
,,,,,,1,,,,1,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,1,2020
,,,,,1,,,,,,,1,,,,1,,,,,2020
,,,,,1,,,,,,1,,,,,,,,1,,2020
,,,,,1,,,,,,1,,,,,,,1,,,2020
,,,,,1,,,,,,1,,,1,,,,,,,2020
,,,,,1,,,,,1,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,1,,,,,,,,1,,,,1,,,,,2020
,,,,1,,,,,,,1,,,,,,,,1,,2020
,,,,1,,,,,,,1,,,,,,,1,,,2020
,,,,1,,,,,,,1,,,1,,,,,,,2020
,,,,1,,,,,,1,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,1,,,,,,,,,1,,,,1,,,,,2020
,,,1,,,,,,,,1,,,,,,,,1,,2020
,,,1,,,,,,,,1,,,,,,,1,,,2020
,,,1,,,,,,,,1,,,1,,,,,,,2020
,,,1,,,,,,,1,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,1,2020
,,1,,,,,,,,,,1,,,,1,,,,,2020
,,1,,,,,,,,,1,,,,,,,,1,,2020
,,1,,,,,,,,,1,,,,,,,1,,,2020
,,1,,,,,,,,,1,,,1,,,,,,,2020
,,1,,,,,,,,1,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,1,2020
,1,,,,,,,,,,,1,,,,1,,,,,2020
,1,,,,,,,,,,1,,,,,,,,1,,2020
,1,,,,,,,,,,1,,,,,,,1,,,2020
,1,,,,,,,,,,1,,,1,,,,,,,2020
,1,,,,,,,,,1,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,1,2020
1,,,,,,,,,,,,1,,,,1,,,,,2020
1,,,,,,,,,,,1,,,,,,,,1,,2020
1,,,,,,,,,,,1,,,,,,,1,,,2020
1,,,,,,,,,,,1,,,1,,,,,,,2020
1,,,,,,,,,,1,,,,,,,1,,,,2020
