month_December,month_February,month_January,month_July,month_June,month_March,month_November,month_October,month_September,state_Himachal Pradesh,state_Rajasthan,category_Pundi,market_Gharsana,market_kalanwali,year
,,,,,,,,1,,,,,1,2020
,,,,,,,,1,,1,,1,,2020
,,,,,,,1,,,,,,1,2020
,,,,,,,1,,,1,,1,,2020
,,,,,,1,,,,,,,1,2020
,,,,,,1,,,,1,,1,,2020
,,,,,1,,,,,,,,1,2020
,,,,,1,,,,,1,,1,,2020
,,,,1,,,,,,,,,1,2020
,,,,1,,,,,,1,,1,,2020
,,,1,,,,,,,,,,1,2020
,,,1,,,,,,,1,,1,,2020
,,1,,,,,,,,,,,1,2020
,,1,,,,,,,,1,,1,,2020
,1,,,,,,,,,,,,1,2020
,1,,,,,,,,,1,,1,,2020
1,,,,,,,,,,,,,1,2020
1,,,,,,,,,,1,,1,,2020
