month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Andhra Pradesh,state_Kerala,state_Meghalaya,state_Mizoram,state_Nagaland,state_Punjab,state_Tamil Nadu,market_Alappuzha,market_Aluva,market_Anchal,market_Angamaly,market_Anyara(EEC),market_Aralamoodu,market_Aroor,market_Athirampuzha,market_Attingal,market_Chalakudy,market_Chanthroor,market_Chathanoor,market_Chavakkad,market_Chelakkara,market_Chengannur,market_Cherthala,market_Diglipur,market_Ernakulam,market_Ettumanoor,market_Ezhamkulam,market_Harippad,market_Irikkur,market_Irinjalakkuda,market_Kanjirappally,market_Katpadi(Uzhavar Santhai),market_Kattakada,market_Kattappana,market_Kodumgalloor,market_Kodungalloor,market_Koduvayoor,market_Kollam,market_Kollengode,market_Kottakkal,market_Kottarakkara,market_Kuruppanthura,market_Kuttoor,market_Madhavapuram,market_Makhu,market_Manjeri,market_Manjeswaram,market_Mokokchung Town,market_Monday Market,market_Moovattupuzha,market_Nedumangadu,market_Nedumkandam,market_New Market Aizawl,market_Neyyatinkara,market_Palakkad,market_Pampady,market_Pandalam,market_Parakkodu,market_Parassala,market_Pattambi,market_Payyannur,market_Perinthalmanna,market_Piravam,market_Pothencode,market_Punalur,market_Ranniangadi,market_Rongram,market_Sasthamkotta,market_Thalayolaparambu,market_Thodupuzha,market_Thrissur,market_Tuli,market_Tuni,market_Tura,market_Vadakkenchery,market_Vadaseri,market_Vamanapuram,market_Wadakkanchery,market_vadakarapathy,variety_Tapioca,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
