month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Odisha,state_Rajasthan,state_Tamil Nadu,state_Uttrakhand,market_Belur,market_Bhadravathi,market_Bhopal(F&V),market_Chamaraj Nagar,market_Channagiri,market_Channapatana,market_Channarayapatna,market_Chikkamagalore,market_Deesa,market_Deesa(Deesa Veg Yard),market_Gonikappal,market_Gundlupet,market_Harappana Halli,market_Haridwar Union,market_Hassan,market_Holenarsipura,market_Honnali,market_Hunsur,market_Indore(F&V),market_Jalore,market_K.R. Pet,market_K.R.Nagar,market_Kadur,market_Kanakapura,market_Katpadi(Uzhavar Santhai),market_Kollegal,market_Koppa,market_Kottakkal,market_Maddur,market_Madikeri,market_Malur,market_Moodigere,market_Nagamangala,market_Nasik,market_Nippani,market_Pandavapura,market_Piriya Pattana,market_Pune,market_Sakaleshpura,market_Santhesargur,market_Shimoga,market_Shimogga(Theertahalli),market_Somvarpet,market_Sringeri,market_Srirangapattana,market_T. Narasipura,market_Tarikere,market_Thalayolaparambu,market_Turvekere,market_Vandiperiyar,variety_Tender Coconut,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
