month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karnataka,state_Madhya Pradesh,state_Maharashtra,state_NCT of Delhi,state_Nagaland,state_Punjab,state_Rajasthan,state_Telangana,state_Uttar Pradesh,state_Uttrakhand,market_Adilabad(Rythu Bazar),market_Agra,market_Ahmedabad,market_Ajmer(F&V),market_Akhnoor,market_Alwar,market_Alwar (F&V),market_Ambala City,market_Ankleshwar,market_Anoop Shahar,market_Anwala,market_Asandh,market_Azadpur,market_Babain,market_Bahedi,market_Bahraich,market_Ballabhgarh,market_Bangarmau,market_Barara,market_Baraut,market_Bariwala,market_Barwala,market_Bathinda,market_Bharuch,market_Bhehjoi,market_Bhogpur,market_Bhuna,market_Bilimora,market_Bilsi,market_Boraee,market_Botad,market_Ch. Dadri,market_Chandausi,market_Chhachhrauli(Khizrabad),market_Chhachrauli,market_Dadri,market_Dahod(Veg. Market),market_Deoband,market_Dharamkot,market_Dhari,market_Dhari(Chalala),market_Divai,market_Dudhansadhan,market_Ellanabad,market_Etah,market_Faridkot,market_Fatehabad,market_Fatehpur,market_Fazilka,market_Fazilka (Ladhuka),market_Firozabad,market_Firozepur City,market_Gangoh,market_Giddarbaha,market_Gohana,market_Goniana,market_Goraya,market_Gulavati,market_Guru Har Sahai,market_Haldaur,market_Haldwani,market_Hamirpur,market_Haridwar Union,market_Hissar,market_Hodal,market_Hoshiarpur,market_Iamailabad,market_Jagraon,market_Jahangirabad,market_Jakhal,market_Jalalabad,market_Jalaun,market_Jalore,market_Jamshedpur,market_Janta Market,market_Jaspur,market_Jaspur(UC),market_Jasvantnagar,market_Junagadh,market_K.Mandvi,market_Kathua,market_Keshopur,market_Khadur Sahib(Fetehabad),market_Khairagarh,market_Khanina,market_Khatauli,market_Khateema,market_Khurja,market_Kiratpur,market_Konch,market_Kot ise Khan,market_Kotkapura,market_Ladwa,market_Lalitpur,market_Lashkar,market_Lehra Gaga,market_Loharu,market_Lohian Khas,market_Lucknow,market_Mainpuri,market_Makhu,market_Malout,market_Mamdot,market_Mamdot(Tibbi Khurd),market_Manglaur,market_Mansa,market_Mansa(Manas Veg Yard),market_Mathura,market_Maur,market_Meham,market_Mukerian,market_Muktsar,market_Mullana,market_Mumbai- Fruit Market,market_Mustafabad,market_Muzzafarnagar,market_Nagari,market_Nagina,market_Najafgarh,market_Najibabad,market_Naraingarh,market_Narnaul,market_Narnaund,market_Narwal Jammu (F&V),market_Nawanshahar,market_Panchpedwa,market_Parikshitgarh,"market_Patan(Veg,Yard Patan)",market_Pataudi,market_Patti,market_Phillaur(Apra Mandi),market_Porsa(F&V),market_Punhana,market_Puranpur,market_Purwa,market_Raikot,market_Rampuraphul(Nabha Mandi),market_Reasi,market_Rohtak,market_Rudrapur,market_S.Mandvi,market_Sadhaura,market_Sahnewal,market_Samalkha,market_Samba,market_Sambhal,market_Shahabad,market_Shahdara,market_Shahzadpur,market_Shajapur(F&V),market_Sheopurkalan,market_Shikohabad,market_Siddapur,market_Siddhpur,market_Sikanderabad,market_Sikarpur,market_Sirhind,market_Sitapur,market_Sitarganj,market_Siwan,market_Siwani,market_Siyana,market_Sriganganagar (F&V),market_Syopurkalan(F&V),market_Talalagir,market_Talwandi Bhai,market_Tapa,market_Thanabhavan,market_Tulsipur,market_Ujhani,market_Unnao,market_Vadhvan,market_Vadodara(Sayajipura),market_Vyra,market_Wokha Town,market_Yamuna Nagar,market_Zira,market_kalanwali,variety_PBT-37,variety_Toria,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
