month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_November,month_October,month_September,state_Rajasthan,state_Uttar Pradesh,state_West Bengal,"market_Flower Market, Canaught Place(Pr. Yard,Mehrauli)","market_Flower Market,Gazipur",market_Kolaghat,market_Mehrauni,variety_Tube Rose (Single),year
,,,,,,,,,1,,,,,1,,,,2020
,,,,,,,,,1,,,,,1,,,1,2020
,,,,,,,,,1,,,,1,,,,,2020
,,,,,,,,,1,,,,1,,,,1,2020
,,,,,,,,,1,,,1,,,1,,,2020
,,,,,,,,,1,,,1,,,1,,1,2020
,,,,,,,,,1,,1,,,,,1,,2020
,,,,,,,,,1,,1,,,,,1,1,2020
,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,1,,,,,,1,,,1,2020
,,,,,,,,1,,,,,1,,,,,2020
,,,,,,,,1,,,,,1,,,,1,2020
,,,,,,,,1,,,,1,,,1,,,2020
,,,,,,,,1,,,,1,,,1,,1,2020
,,,,,,,,1,,,1,,,,,1,,2020
,,,,,,,,1,,,1,,,,,1,1,2020
,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,1,,,1,2020
,,,,,,,1,,,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,,1,2020
,,,,,,,1,,,,,1,,,1,,,2020
,,,,,,,1,,,,,1,,,1,,1,2020
,,,,,,,1,,,,1,,,,,1,,2020
,,,,,,,1,,,,1,,,,,1,1,2020
,,,,,,1,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,1,,,1,2020
,,,,,,1,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,,1,2020
,,,,,,1,,,,,,1,,,1,,,2020
,,,,,,1,,,,,,1,,,1,,1,2020
,,,,,,1,,,,,1,,,,,1,,2020
,,,,,,1,,,,,1,,,,,1,1,2020
,,,,,1,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,1,,,1,2020
,,,,,1,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,1,,,,1,2020
,,,,,1,,,,,,,1,,,1,,,2020
,,,,,1,,,,,,,1,,,1,,1,2020
,,,,,1,,,,,,1,,,,,1,,2020
,,,,,1,,,,,,1,,,,,1,1,2020
,,,,1,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,1,,,1,2020
,,,,1,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,1,,,,1,2020
,,,,1,,,,,,,,1,,,1,,,2020
,,,,1,,,,,,,,1,,,1,,1,2020
,,,,1,,,,,,,1,,,,,1,,2020
,,,,1,,,,,,,1,,,,,1,1,2020
,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,1,,,1,2020
,,,1,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,1,,,,1,2020
,,,1,,,,,,,,,1,,,1,,,2020
,,,1,,,,,,,,,1,,,1,,1,2020
,,,1,,,,,,,,1,,,,,1,,2020
,,,1,,,,,,,,1,,,,,1,1,2020
,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,1,,,,1,2020
,,1,,,,,,,,,,1,,,1,,,2020
,,1,,,,,,,,,,1,,,1,,1,2020
,,1,,,,,,,,,1,,,,,1,,2020
,,1,,,,,,,,,1,,,,,1,1,2020
,1,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,1,,,1,2020
,1,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,1,,,,1,2020
,1,,,,,,,,,,,1,,,1,,,2020
,1,,,,,,,,,,,1,,,1,,1,2020
,1,,,,,,,,,,1,,,,,1,,2020
,1,,,,,,,,,,1,,,,,1,1,2020
1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,1,,,,1,2020
1,,,,,,,,,,,,1,,,1,,,2020
1,,,,,,,,,,,,1,,,1,,1,2020
1,,,,,,,,,,,1,,,,,1,,2020
1,,,,,,,,,,,1,,,,,1,1,2020
