month_January,month_May,month_November,month_October,month_September,state_Jammu and Kashmir,state_Jharkhand,state_Madhya Pradesh,market_Gamhari,market_Narwal Jammu (F&V),market_Ramgarh,variety_Walnut,year
,,,,1,,,,1,,,,2020
,,,,1,,1,,,,1,,2020
,,,,1,1,,,,1,,,2020
,,,,1,1,,,,1,,1,2020
,,,1,,,,,1,,,,2020
,,,1,,,1,,,,1,,2020
,,,1,,1,,,,1,,,2020
,,,1,,1,,,,1,,1,2020
,,1,,,,,,1,,,,2020
,,1,,,,1,,,,1,,2020
,,1,,,1,,,,1,,,2020
,,1,,,1,,,,1,,1,2020
,1,,,,,,,1,,,,2020
,1,,,,,1,,,,1,,2020
,1,,,,1,,,,1,,,2020
,1,,,,1,,,,1,,1,2020
1,,,,,,,,1,,,,2020
1,,,,,,1,,,,1,,2020
1,,,,,1,,,,1,,,2020
1,,,,,1,,,,1,,1,2020
