month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Jharkhand,state_Madhya Pradesh,state_Uttar Pradesh,market_Chaandpur,market_Charama,market_Charra,market_Chhibramau,market_Gondal,market_Haldaur,market_Jabalpur,market_LavKush Nagar(Laundi),market_Lohardaga,market_Manawar,market_Manendragarh,market_Muzzafarnagar,market_Nagina,market_Nainpur,market_Panna,market_Rajnagar,market_Sitapur,market_Ujjain,market_Varanasi,variety_White Peas,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,2020
