month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,category_Pundi,market_Beawar,market_Bikaner (F&V),market_Bikaner (Grain),market_Kekri,market_Lunkaransar,variety_Wool,year
,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,,,1,,,,,1,,,2020
,,,,,,,,,,1,,,,,1,,1,2020
,,,,,,,,,,1,,,,1,,,,2020
,,,,,,,,,,1,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,,,2020
,,,,,,,,,,1,,1,,,,,1,2020
,,,,,,,,,1,,,,,,,1,,2020
,,,,,,,,,1,,,,,,1,,,2020
,,,,,,,,,1,,,,,,1,,1,2020
,,,,,,,,,1,,,,,1,,,,2020
,,,,,,,,,1,,,,1,,,,,2020
,,,,,,,,,1,,,1,,,,,,2020
,,,,,,,,,1,,,1,,,,,1,2020
,,,,,,,,1,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,1,,1,2020
,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,1,,,,,1,,,,,2020
,,,,,,,,1,,,,1,,,,,,2020
,,,,,,,,1,,,,1,,,,,1,2020
,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,1,,1,2020
,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,,,1,,,,,2020
,,,,,,,1,,,,,1,,,,,,2020
,,,,,,,1,,,,,1,,,,,1,2020
,,,,,,1,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,1,,1,2020
,,,,,,1,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,1,,,,,2020
,,,,,,1,,,,,,1,,,,,,2020
,,,,,,1,,,,,,1,,,,,1,2020
,,,,,1,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,1,,1,2020
,,,,,1,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,1,,,,,1,2020
,,,,1,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,1,,1,2020
,,,,1,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,1,,,,,1,2020
,,,1,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,1,,1,2020
,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,1,,,,,1,2020
,,1,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,1,,1,2020
,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,1,,,,,1,2020
,1,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,1,,1,2020
,1,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,1,,,,,1,2020
1,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,1,,1,2020
1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,1,,,,,1,2020
